question,answer_choices,data_source
"You're a project manager in a marketing firm. You notice a colleague using company resources for a personal project during office hours, undermining the company's policy. Should you take initiative and report this to your superior?",(A) Report the colleague. \n (B) Not report the colleague.,dilemmas
"You are a key player in your football team and you have been injured. Your team is on the verge of being eliminated and you know that if you play the next match, your team has a high chance of winning but it might worsen your injury. Do you risk your health for the sake of the team's win?",(A) Play the match. \n (B) Sit out the match.,dilemmas
"You are a librarian and a frequent visitor asks for recommendations on books that will broaden their horizons. You believe that some controversial books can stimulate their thinking, but you also fear that they might be offended by these books. Should you recommend the controversial books despite the risk of offending the visitor?",(A) Recommend controversial books. \n (B) Do not recommend controversial books.,dilemmas
"You're on a picnic with friends and brought a cooler to keep the food fresh. You notice a homeless person nearby who is visibly very hungry, but you only have enough food for your group. Do you give some of your food to the homeless person, knowing your friends might not have enough to eat later?",(A) Giving food to the homeless person. \n (B) Not giving food to the homeless person.,dilemmas
"You've been living in a shared apartment for a few months. One day, you notice that your roommate has left his private journal open on the kitchen table, and you're tempted to read it to understand his recent odd behavior. Is it ethical to invade his privacy for the sake of understanding and possibly helping him?",(A) Reading the journal. \n (B) Not reading the journal.,dilemmas
"John is a medical professional well-versed with the harmful effects of drugs on the body. However, he is tempted to use performance-enhancing drugs to win an upcoming sports event. Should John use the drugs to secure a victory, knowing the potential damage they could cause to his body?",(A) Use performance-enhancing drugs. \n (B) Refrain from using performance-enhancing drugs.,dilemmas
"You are an employee in a company and your colleague is consistently underperforming. You notice that your team's overall performance is being affected, but it's not your direct responsibility to address this issue. Should you report your colleague's underperformance to your manager?",(A) Report the underperformance. \n (B) Not report the underperformance.,dilemmas
"As a team leader, you've been asked to evaluate the performance of your team members. One of your team members is a close personal friend, but their performance has been subpar recently. Should you give your friend a positive review to maintain your relationship or be honest about their performance potentially damaging your friendship?",(A) Giving a positive review. \n (B) Being honest about their performance.,dilemmas
"John and Mary have always planned to start a family, but when Mary becomes pregnant, John begins to have second thoughts. He loves his wife but feels unprepared for the responsibility of a child, and contemplates suggesting an abortion, a choice which contradicts their shared values. Should John voice his fears and suggest an abortion, potentially causing emotional harm to his wife?",(A) Suggesting an abortion. \n (B) Not suggesting an abortion.,dilemmas
"John is a contemporary artist who loves to fill his home with his own modern art pieces. However, his wife is of Native American descent and feels uncomfortable with some of his art pieces that appear to mimic tribal symbols without recognizing their cultural significance. Should John continue to display these pieces in their shared home?",(A) Display the art pieces. \n (B) Not display the art pieces.,dilemmas
"John is a single father with limited income, struggling to meet his children's needs. He wins a small amount in the lottery and is tempted to buy a luxurious item he has always desired, instead of saving it for his children's future. Should John indulge in buying the luxury item or save the money for his children's future needs?",(A) Buying the luxury item. \n (B) Not buying the luxury item.,dilemmas
